ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
FAK27685	gm24385_181205DNA1c	HG002	133116	83610	0	6082.93	90042	14690	6330	3553	2453	1883	1525	1264	1072	932	808	689	634	529	492	469	415	10950	9541	8176	6320	5145	3540	2882	2474	1982	1719	
FAK27715	gm24385_181114DNA2a	HG002	124930	94023	0	8066.94	78594	15145	6687	3806	2676	2083	1681	1468	1264	1023	957	764	678	619	543	529	465	11042	9192	7528	5732	4365	3086	2237	1681	1319	1073	
FAK27729	gm24385_181114DNA2b	HG002	125616	93435	0	8509.78	79287	15247	6302	3639	2471	1996	1597	1443	1217	1027	947	846	754	638	633	555	525	11229	9030	7333	5701	4351	2946	2257	1808	1448	1201	
FAK28227	gm24385_181114DNA2f	HG002	214962	144493	0	5646.52	147728	25168	10001	5472	3722	2712	2249	1861	1546	1324	1190	1021	895	808	741	642	617	18590	15499	13174	10218	8055	5581	4323	3244	2772	2347	
FAK28227-31B79D0D	gm24385_181114DNA2f	HG002	149527	100486	0	5665.32	102809	17473	6896	3799	2594	1868	1547	1306	1041	914	854	698	636	543	507	462	429	12848	10809	9099	7166	5543	3892	3001	2218	1914	1643	
FAK29576	gm24385_181107DNA1a	HG002	68255	53976	0	11761.4	38101	8867	4570	3092	2241	1592	1399	1059	851	803	638	543	491	423	368	335	255	6071	4809	3831	2824	2109	1437	1114	884	651	527	
PAC17886	GM24385_Prom_Notts_1	HG002	955512	521043	0	10625.7	564756	128204	61273	39565	28882	21407	17043	13683	11180	9179	7737	6628	5542	4806	4153	3630	3086	87436	65856	48992	36591	27404	19990	16118	12236	8894	7021	
PAD11290_1	GM24385_Ashley_Run1	HG002	440413	354231	0	11732.9	239093	72475	34179	20809	14744	11609	9387	7931	6354	5303	4204	3337	2570	2146	1630	1216	879	40289	30936	23542	17810	12820	9108	6473	4577	3159	2318	
PAD11290_10	GM24385_Ashley_Run1	HG002	385332	308723	0	11675.4	209584	63988	30125	18088	12703	10084	8112	6579	5407	4519	3748	2977	2297	1751	1418	1079	741	35577	27107	20739	15317	11059	7846	5779	3948	2728	2118	
PAD11290_2	GM24385_Ashley_Run1	HG002	443487	356673	0	11547	241672	72740	34135	21001	14693	11700	9444	7831	6358	5236	4247	3352	2779	2101	1569	1220	920	40789	31239	23721	17597	13066	9242	6497	4710	3250	2310	
PAD11290_3	GM24385_Ashley_Run1	HG002	442095	354252	0	11771.1	241292	72498	34220	20567	14721	11445	9382	7699	6376	5308	4269	3408	2702	2012	1600	1170	909	40548	31252	23632	17628	12740	9045	6694	4571	3209	2410	
PAD11290_4	GM24385_Ashley_Run1	HG002	443144	359528	0	12000	238921	73771	34879	21009	15218	11540	9492	7930	6611	5303	4225	3394	2634	2027	1616	1208	914	41047	31542	23875	17809	12527	9089	6527	4512	3136	2281	
PAD11290_5	GM24385_Ashley_Run1	HG002	448487	361970	0	11619.5	245119	74160	34557	20566	14864	11545	9371	7997	6394	5217	4200	3444	2634	2153	1570	1264	893	41079	31200	23879	17878	13143	9121	6590	4596	3198	2309	
PAD11290_6	GM24385_Ashley_Run1	HG002	440707	354737	0	11984.4	239483	72572	34031	20654	14876	11625	9475	7907	6373	5211	4220	3385	2623	2086	1658	1257	918	40334	31037	23708	17637	12638	8871	6451	4594	3278	2214	
PAD11290_7	GM24385_Ashley_Run1	HG002	445479	356095	0	11556.8	242513	73347	34591	20977	14834	11599	9375	8024	6391	5196	4261	3364	2757	1978	1657	1221	874	40925	31009	23979	17752	13098	9260	6527	4532	3363	2435	
PAD11290_8	GM24385_Ashley_Run1	HG002	442220	353617	0	11764.6	240665	72517	34488	20521	14906	11701	9411	7797	6464	5290	4250	3436	2502	2077	1627	1172	872	40408	30992	23765	17601	12816	9002	6414	4559	3241	2328	
